Location,Year,Date,CTT,CTP,COD,CER,WCER
Kolkata,2016,04-08-2016,289.019994,674.60001,-9999,-9999,18.1599996
Kolkata,2016,05-08-2016,200.719996,129.800002,18.2799996,30.4899993,-9999
Kolkata,2016,06-08-2016,210.019995,157.500002,13.2499997,35.8899992,23.4499995
Kolkata,2016,07-08-2016,210.409995,189.500003,24.3199995,35.2799992,25.4799994
Kolkata,2016,08-08-2016,208.599995,192.000003,22.6599995,27.8599994,22.2099995
Kolkata,2016,09-08-2016,209.509995,148.900002,15.8899996,20.6799995,15.3999997
Kolkata,2016,10-08-2016,198.329996,159.500002,26.5099994,29.3899993,-9999
Kolkata,2016,11-08-2016,248.649994,470.500007,6.93999984,25.2899994,15.9499996
Kolkata,2016,12-08-2016,263.579994,668.10001,9.60999979,37.3399992,19.2699996
Kolkata,2016,13-08-2016,244.359995,535.000008,1.70999996,34.9299992,21.2299995
Kolkata,2016,14-08-2016,229.619995,283.600004,2.05999995,34.4899992,18.7199996
Kolkata,2016,15-08-2016,279.829994,372.600006,1.86999996,26.8299994,19.0799996
Kolkata,2016,16-08-2016,238.549995,273.200004,2.64999994,19.8699996,14.6199997
Kolkata,2016,17-08-2016,-9999,115.300002,-9999,-9999,-9999
Kolkata,2016,18-08-2016,218.609995,308.800005,6.99999984,17.0399996,14.8199997
Kolkata,2016,19-08-2016,287.019994,655.90001,-9999,-9999,14.0499997
Kolkata,2016,20-08-2016,212.939995,158.000002,3.43999992,22.3999995,18.9499996
Kolkata,2016,21-08-2016,197.629996,147.100002,46.409999,28.7199994,-9999
Kolkata,2016,22-08-2016,231.029995,522.700008,22.6799995,38.6199991,21.6699995
Kolkata,2016,23-08-2016,274.219994,645.80001,1.72999996,34.7999992,19.2799996
Kolkata,2016,24-08-2016,220.469995,481.900007,7.02999984,9.35999979,13.7499997
Kolkata,2016,25-08-2016,296.419993,703.30001,1.17999997,48.3199989,14.9699997
Kolkata,2016,26-08-2016,256.759994,330.400005,1.31999997,33.9199992,20.0899996
Kolkata,2016,27-08-2016,302.699993,974.400015,-9999,-9999,12.1599997
Kolkata,2016,28-08-2016,234.949995,557.300008,1.78999996,40.7099991,21.6399995
Kolkata,2016,29-08-2016,289.549994,779.300012,2.76999994,17.2899996,16.2999996
Kolkata,2016,30-08-2016,299.899993,874.800013,-9999,-9999,19.4999996
Kolkata,2016,31-08-2016,211.839995,209.100003,5.38999988,36.9399992,22.9099995
Kolkata,2016,01-09-2016,236.749995,320.300005,9.0599998,34.4499992,17.6099996
Kolkata,2016,02-09-2016,-9999,166.000002,-9999,-9999,-9999
Kolkata,2016,03-09-2016,215.349995,204.900003,4.3899999,15.6599996,16.4599996
Kolkata,2016,04-09-2016,219.149995,225.400003,4.16999991,28.0999994,18.7999996
Kolkata,2016,05-09-2016,251.319994,417.700006,4.3499999,21.1999995,17.0599996
Kolkata,2016,06-09-2016,237.399995,565.500008,12.2399997,16.7399996,11.9299997
Kolkata,2016,07-09-2016,280.629994,621.300009,11.3899997,10.3299998,10.7399998
Kolkata,2016,08-09-2016,257.159994,581.300009,6.94999984,17.3299996,15.6699996
Kolkata,2016,09-09-2016,252.939994,307.700005,2.13999995,29.7899993,22.7099995
Kolkata,2016,10-09-2016,291.749993,702.20001,1.15999997,24.7699994,12.6099997
Kolkata,2016,11-09-2016,218.569995,179.400003,6.26999986,36.3999992,18.5799996
Kolkata,2016,12-09-2016,260.219994,546.000008,2.31999995,23.3899995,15.4399997
Kolkata,2016,13-09-2016,248.479994,348.900005,8.56999981,35.6099992,21.8599995
Kolkata,2016,14-09-2016,281.179994,757.700011,7.06999984,28.1699994,16.1999996
Kolkata,2016,15-09-2016,297.739993,940.200014,-9999,-9999,19.5299996
Kolkata,2016,16-09-2016,270.609994,426.700006,1.58999996,31.8199993,17.8699996
Kolkata,2016,17-09-2016,229.979995,248.600004,40.8599991,34.9999992,20.6799995
Kolkata,2016,18-09-2016,-9999,586.200009,-9999,-9999,-9999
Kolkata,2016,19-09-2016,270.199994,585.100009,1.41999997,28.6599994,15.0099997
Kolkata,2016,20-09-2016,230.389995,318.400005,1.57999996,37.9299992,24.2499995
Kolkata,2016,21-09-2016,263.269994,506.500008,10.0299998,33.9599992,17.2099996
Kolkata,2016,22-09-2016,225.599995,304.700005,4.4999999,29.3999993,22.9799995
Kolkata,2016,23-09-2016,243.209995,270.000004,8.8499998,38.6599991,17.1699996
Kolkata,2016,24-09-2016,217.819995,188.000003,9.28999979,33.0999993,23.9599995
Kolkata,2016,25-09-2016,223.339995,185.300003,5.31999988,34.8399992,27.5299994
Kolkata,2016,26-09-2016,234.389995,285.500004,12.1299997,33.2199993,19.8499996
Kolkata,2016,27-09-2016,264.449994,749.000011,2.88999994,43.459999,22.8199995
Kolkata,2016,28-09-2016,218.619995,185.200003,14.6599997,27.5499994,25.3599994
Kolkata,2016,29-09-2016,287.509994,660.70001,-9999,-9999,19.3599996
Kolkata,2016,30-09-2016,289.119994,799.100012,-9999,-9999,14.0599997
Kolkata,2017,01-06-2017,-9999,110.000002,-9999,-9999,-9999
Kolkata,2017,02-06-2017,207.779995,153.200002,3.66999992,15.3899997,21.9199995
Kolkata,2017,03-06-2017,238.689995,401.100006,0.749999983,41.1999991,12.2699997
Kolkata,2017,04-06-2017,300.359993,709.400011,-9999,-9999,-9999
Kolkata,2017,05-06-2017,260.889994,317.900005,2.28999995,26.9599994,10.8599998
Kolkata,2017,06-06-2017,235.669995,254.700004,0.979999978,26.7499994,21.6999995
Kolkata,2017,07-06-2017,246.559994,389.000006,3.82999991,8.12999982,14.9399997
Kolkata,2017,08-06-2017,212.879995,164.800002,1.78999996,27.9299994,14.1899997
Kolkata,2017,09-06-2017,224.109995,215.200003,11.9599997,26.4199994,15.0399997
Kolkata,2017,10-06-2017,218.179995,747.200011,2.37999995,36.2199992,23.0199995
Kolkata,2017,11-06-2017,234.669995,237.800004,7.85999982,22.4099995,17.5399996
Kolkata,2017,12-06-2017,222.669995,185.800003,6.78999985,43.809999,-9999
Kolkata,2017,13-06-2017,204.389995,305.100005,2.38999995,25.9799994,22.7799995
Kolkata,2017,14-06-2017,251.489994,412.300006,2.00999996,29.9899993,13.1699997
Kolkata,2017,15-06-2017,262.159994,351.600005,8.49999981,46.599999,15.6399997
Kolkata,2017,16-06-2017,258.339994,420.100006,7.52999983,22.0499995,16.4299996
Kolkata,2017,17-06-2017,-9999,110.700002,-9999,-9999,-9999
Kolkata,2017,18-06-2017,224.319995,195.200003,9.80999978,21.6499995,16.1899996
Kolkata,2017,19-06-2017,236.489995,168.300003,1.23999997,41.3599991,16.9999996
Kolkata,2017,20-06-2017,234.339995,230.000003,26.9499994,45.899999,18.5299996
Kolkata,2017,21-06-2017,215.279995,291.300004,2.90999993,22.1599995,16.6899996
Kolkata,2017,22-06-2017,281.079994,480.900007,5.68999987,30.8599993,17.2799996
Kolkata,2017,23-06-2017,268.739994,564.100008,3.27999993,28.0099994,19.0199996
Kolkata,2017,24-06-2017,245.299995,741.800011,5.09999989,20.6699995,22.1999995
Kolkata,2017,25-06-2017,278.539994,690.90001,3.31999993,31.1999993,15.1199997
Kolkata,2017,26-06-2017,266.209994,525.300008,2.71999994,35.3599992,17.6599996
Kolkata,2017,27-06-2017,249.479994,436.300007,11.4799997,32.1399993,20.0499996
Kolkata,2017,28-06-2017,211.899995,210.600003,15.5299997,34.0599992,17.2899996
